date,open,high,low,close,volume
2023-10-02,495.0,505.0,489.0,496.5,17971
2023-10-03,496.6,498.9,488.0,490.0,20875
2023-10-04,493.0,495.0,482.5,487.0,34402
2023-10-05,489.0,490.8,481.0,487.9,12034
2023-10-08,488.0,488.0,472.6,473.3,26961
2023-10-09,470.0,477.0,468.0,472.0,11579
2023-10-10,481.0,481.0,465.0,466.0,12395
2023-10-11,466.0,478.0,466.0,467.5,9071
2023-10-12,467.0,475.8,462.5,468.0,22325
2023-10-16,461.1,469.0,460.0,469.0,9668
2023-10-17,475.0,475.0,465.0,472.0,5650
2023-10-18,472.3,485.0,471.0,484.7,8814
2023-10-19,476.0,488.9,476.0,481.0,6690
2023-10-29,481.0,481.0,471.0,472.0,6037
2023-10-30,462.8,472.0,462.8,468.0,10362
2023-10-31,461.0,476.0,458.9,469.0,5374
2023-11-01,470.0,471.9,465.2,465.2,8862
2023-11-02,465.0,469.0,463.0,464.0,6678
2023-11-05,463.5,463.9,455.0,457.0,11398
2023-11-06,455.0,467.0,455.0,464.0,12958
2023-11-07,464.0,470.0,461.2,465.0,11418
2023-11-08,465.0,468.0,461.5,465.0,5402
2023-11-09,460.5,469.0,460.3,466.0,11637
2023-11-20,470.0,475.0,466.1,470.0,16499
2023-11-21,479.4,479.4,462.1,469.8,9891
2023-11-22,462.0,473.0,461.1,470.2,9481
2023-11-23,470.2,483.0,466.0,476.4,15112
2023-11-26,485.0,490.0,479.0,489.9,17654
2023-11-27,499.0,499.0,480.0,480.3,10444
2023-11-28,473.5,484.9,473.5,481.0,6772
2023-11-29,481.0,488.0,475.9,476.5,8678
2023-11-30,467.0,482.0,467.0,478.1,6689
2023-12-03,475.0,478.0,475.0,477.0,11884
2023-12-04,474.0,477.0,470.0,473.2,13263
2023-12-05,477.0,480.0,465.0,480.0,15972
2023-12-06,480.0,489.6,471.0,472.3,6098
2023-12-07,472.3,482.0,467.0,479.0,30587
2023-12-10,488.5,526.0,488.5,526.0,8159
2023-12-11,536.0,536.0,505.1,515.0,102458
2023-12-12,516.0,540.0,516.0,536.0,125905
2023-12-13,536.0,544.0,528.0,531.9,54870
2023-12-14,531.0,544.0,522.1,535.0,47404
2023-12-17,524.3,566.0,524.3,562.3,97214
2023-12-18,570.0,580.0,553.3,560.0,138093
2023-12-19,562.0,571.2,553.0,558.0,86246
2023-12-20,569.0,580.0,555.8,567.0,136576
2023-12-21,568.0,577.0,562.0,571.8,199493
2023-12-24,530.2,530.2,510.0,513.0,57113
2023-12-27,503.0,533.0,499.7,503.0,56394
2023-12-28,500.2,501.0,495.0,499.6,46986
2024-01-01,493.0,502.5,486.0,486.0,57023
2024-01-02,483.0,489.0,478.2,483.3,34724
2024-01-03,484.0,492.0,475.2,484.0,36358
2024-01-04,493.0,508.0,487.0,499.0,67904
2024-01-07,508.9,510.0,497.1,500.0,52463
2024-01-08,505.0,506.2,496.1,502.0,53954
2024-01-09,508.0,515.0,502.2,506.0,80798
2024-01-10,496.1,516.0,496.1,504.0,35552
2024-01-11,494.0,505.5,494.0,499.0,25301
2024-01-14,508.9,520.0,501.0,519.0,57116
2024-01-16,525.0,529.9,516.1,525.0,54668
2024-01-17,526.1,529.9,509.9,513.8,74796
2024-01-18,510.0,516.0,503.7,508.5,54657
2024-01-21,508.0,517.0,503.9,512.0,70284
2024-01-22,504.1,509.0,501.9,503.0,24339
2024-01-23,504.0,504.0,497.5,498.0,31777
2024-01-24,507.9,507.9,496.0,496.9,19991
2024-01-25,496.0,497.0,490.0,491.0,47480
2024-01-28,490.0,495.0,488.0,494.0,19305
2024-01-29,495.0,500.0,490.0,493.9,27902
2024-01-30,500.1,501.8,492.0,498.0,26107
2024-01-31,498.0,508.0,491.0,493.6,24402
2024-02-01,494.0,494.0,488.1,491.0,15458
2024-02-04,485.1,491.0,483.0,487.1,19956
2024-02-05,487.0,492.0,487.0,488.5,11434
2024-02-06,497.0,497.0,488.0,490.0,10154
2024-02-07,495.0,497.0,490.2,493.0,18461
2024-02-08,488.0,495.9,488.0,494.0,11171
2024-02-11,502.9,502.9,490.0,494.9,17192
2024-02-12,494.0,495.0,489.8,494.5,31662
2024-02-13,494.0,494.0,484.0,487.9,28554
2024-02-14,481.0,492.6,480.0,485.5,15012
2024-02-15,480.7,490.0,480.0,480.8,15815
2024-02-18,480.8,480.8,474.0,474.0,23673
2024-02-20,468.0,476.0,467.8,471.0,20281
2024-02-21,474.0,475.0,466.4,469.0,17569
2024-02-22,468.0,472.0,466.0,470.0,31876
2024-02-25,478.3,478.3,461.2,462.0,38625
2024-02-26,462.0,468.2,455.0,461.0,16063
2024-02-27,466.5,467.0,455.0,463.0,38654
2024-02-28,464.0,469.9,460.0,462.0,11853
2024-02-29,460.0,463.0,455.0,458.0,17115
2024-03-03,454.5,460.0,452.1,455.6,22676
2024-03-04,464.7,491.6,464.7,491.6,419
2024-03-05,485.0,490.0,462.1,465.0,33109
2024-03-06,465.0,476.0,458.0,469.0,46340
2024-03-07,472.4,478.3,461.0,471.0,16560
2024-03-10,472.0,482.0,472.0,475.0,22647
2024-03-12,480.9,482.0,470.0,481.0,46130
2024-03-13,477.1,486.5,473.0,475.0,30843
2024-03-14,471.0,479.4,469.0,475.0,17615
2024-03-17,467.0,476.0,467.0,469.9,19270
2024-03-18,465.0,470.0,464.2,469.0,18822
2024-03-19,464.1,474.0,464.1,467.0,14278
2024-03-20,462.0,474.8,461.3,467.0,28661
2024-03-21,472.0,472.0,462.0,466.0,9087
2024-03-25,467.0,468.0,457.0,460.2,16306
2024-03-26,458.0,464.0,458.0,460.0,15071
2024-03-27,460.0,462.0,458.0,458.6,18235
2024-03-28,457.3,463.0,456.5,462.0,24217
2024-03-31,464.0,469.0,456.0,458.0,33420
2024-04-01,458.0,462.0,454.2,457.5,29077
2024-04-02,458.0,458.0,452.6,452.7,26171
2024-04-03,453.5,457.9,449.3,450.2,28424
2024-04-04,450.0,452.0,449.0,449.1,23378
2024-04-07,446.0,453.0,446.0,453.0,30103
2024-04-09,461.9,461.9,450.0,456.0,32513
2024-04-10,460.0,460.0,452.0,454.0,15768
2024-04-14,455.0,460.0,450.0,454.5,44702
2024-04-15,460.0,460.0,446.8,450.3,33599
2024-04-16,446.0,450.3,442.0,442.0,23780
2024-04-18,438.2,449.9,438.2,445.0,14654
2024-04-21,447.0,447.0,438.2,440.0,23034
2024-04-22,440.5,444.0,438.0,438.0,24120
2024-04-24,438.1,444.0,438.1,438.8,11955
2024-04-25,439.1,443.9,430.0,440.0,47743
2024-04-28,437.5,444.8,434.0,435.3,57951
2024-04-29,430.5,446.9,430.5,437.0,18859
2024-04-30,444.9,445.5,437.0,442.0,14587
2024-05-02,450.8,450.8,435.0,435.0,25307
2024-05-05,431.0,440.0,429.0,430.1,32100
2024-05-06,435.0,435.0,427.5,429.0,22400
2024-05-07,437.0,437.0,426.5,428.5,6978
2024-05-08,430.0,431.0,428.0,430.0,10297
2024-05-09,438.0,447.0,430.0,435.0,22757
2024-05-12,435.0,435.0,426.3,432.0,14998
2024-05-13,439.0,439.0,429.1,431.2,27240
2024-05-14,439.0,448.0,431.0,440.0,41028
2024-05-15,441.0,446.0,434.3,434.3,30430
2024-05-16,442.9,442.9,434.1,437.0,9342
2024-05-19,437.0,453.0,437.0,448.9,66751
2024-05-20,450.0,456.0,447.8,448.1,49360
2024-05-21,457.0,457.0,449.0,451.0,31308
2024-05-22,451.0,458.0,445.0,453.9,20627
2024-05-26,450.1,458.0,448.0,449.0,19335
2024-05-27,450.0,455.0,449.1,453.0,24376
2024-05-29,462.0,462.0,447.2,448.1,26580
2024-05-30,444.0,450.0,443.0,444.0,23225
2024-06-02,444.0,449.9,444.0,446.0,11980
2024-06-03,453.9,453.9,443.2,444.0,8271
2024-06-04,442.0,444.0,437.2,437.2,50349
2024-06-05,440.0,440.0,429.9,434.0,60548
2024-06-06,434.0,439.0,432.0,432.5,8881
2024-06-09,441.1,441.1,432.6,434.9,17846
2024-06-10,443.5,443.5,429.6,434.5,41446
2024-06-11,443.1,443.1,430.0,441.0,23520
2024-06-12,441.0,445.7,438.0,440.0,12853
2024-06-13,446.0,446.0,434.2,441.0,32329
2024-06-16,442.0,442.9,437.1,440.0,32651
2024-06-18,440.0,442.0,436.0,436.0,34690
2024-06-19,442.0,442.0,434.1,435.1,13264
2024-06-20,443.8,443.8,431.0,433.5,9149
2024-06-23,432.0,440.6,431.1,436.0,40911
2024-06-24,437.0,439.9,432.1,435.0,19900
2024-06-25,430.1,441.5,430.1,441.0,30001
